Country,Region,Female,Male,Rank
Hong Kong,Asia,88.17,82.38,1
Japan,Asia,88.09,81.91,2
Macao,Asia ,87.62,81.73,3
Switzerland,Europe,86.02,82.42,4
Singapore,Asia,86.15,82.06,5
Italy,Europe,85.97,81.9,6
Spain,Europe,86.68,81.27,7
Australia,Oceania,85.8,82.08,8
Channel Islands,Europe,85.31,81.82,9
Iceland,Europe,84.9,82.15,10
South Korea,Asia,86.42,80.46,11
Israel,Middle East,84.91,81.98,12
Sweden,Europe,84.97,81.69,13
France,Europe,85.82,80.32,14
Martinique,N. America,86.1,79.85,15
Malta,Europe,84.68,81.37,16
Canada,N. America,84.74,81.15,17
Norway,Europe,84.78,81.11,18
Ireland,Europe,84.32,81.29,19
New Zealand,Oceania,84.38,81.2,20
Greece,Europe,85.08,80.52,21
Luxembourg,Europe,84.76,80.83,22
Netherlands,Europe,84.35,81.2,23
Guadeloupe,N. America,85.94,79.16,24
Portugal,Europe,85.28,79.79,25
Finland,Europe,85.14,79.82,26
Belgium,Europe,84.31,80,27
Austria,Europe,84.19,79.88,28
Germany,Europe,84.14,79.62,29
Slovenia,Europe,84.44,79.26,30
United Kingdom,Europe,83.28,80.22,31
Réunion,Africa,84.45,78.52,32
Cyprus,Europe,83.45,79.55,33
Denmark,Europe,83.27,79.54,34
U.S. Virgin Islands,N. America,83.52,78.64,35
Taiwan,Asia ,83.64,78.49,36
Costa Rica,N. America,83.39,78.53,37
Chile,S. America,82.8,78.54,38
Guam,Oceania,83.98,77.63,39
Qatar,Asia,82.49,79.78,40
Puerto Rico,N. America,83.92,77.27,41
French Guiana,S. America,83.38,77.8,42
Maldives,Asia,81.58,78.53,43
Mayotte,Africa,83.24,76.62,44
Czech Republic (Czechia),Europe,82.35,77.33,45
Barbados,N. America,80.85,78.36,46
Curaçao,S. America,82.08,76.42,47
Poland,Europe,82.98,75.51,48
Lebanon,Asia,81.17,77.53,49
Estonia,Europe,83.06,74.98,50
Cuba,N. America,81.12,77.25,51
United States,N. America,81.65,76.61,52
Panama,N. America,82.2,76.14,53
Croatia,Europe,82.02,75.95,54
Albania,Europe,80.48,77.48,55
Oman,Asia,80.94,76.9,56
United Arab Emirates,Asia,78.46,79.8,57
Turkey,Asia,78.45,81.21,58
Uruguay,S. America,78.43,81.88,59
French Polynesia,Oceania,78.23,80.41,60
New Caledonia,Oceania,78.16,80.89,61
Slovakia,Europe,78,81.35,62
Bosnia and Herzegovina,Europe,77.93,80.32,63
Colombia,S. America,77.87,80.54,64
Thailand,Asia,77.74,81.34,65
Bahrain,Asia,77.73,78.88,66
Ecuador,S. America,77.71,80.45,67
Sri Lanka,Asia,77.56,80.74,68
Algeria,Africa,77.5,78.76,69
Antigua and Barbuda,N. America,77.47,78.58,70
China,Asia,77.47,79.73,71
Peru,S. America,77.44,80.15,72
Morocco,Africa,77.43,78.66,73
Montenegro,Europe,77.39,79.77,74
Tunisia,Africa,77.36,79.34,75
Iran,Asia,77.33,78.54,76
Hungary,Europe,77.31,80.66,77
Argentina,S. America,77.17,80.42,78
Aruba,S. America,76.79,79.1,79
Saint Lucia,N. America,76.67,78.06,80
Malaysia,Asia,76.65,78.78,81
Brazil,S. America,76.57,80.14,82
Romania,Europe,76.5,79.91,83
Serbia,Europe,76.47,79.05,84
Lithuania,Europe,76.41,81.7,85
Brunei,Asia,76.35,77.64,86
North Macedonia,Europe,76.26,78.32,87
Syria,Asia,76.06,79.11,88
Honduras,N. America,75.87,78.14,89
Kuwait,Asia,75.85,77.06,90
Vietnam,Asia,75.77,79.85,91
Latvia,Europe,75.73,80.37,92
Saudi Arabia,Asia,75.69,77.37,93
Armenia,Asia,75.55,78.9,94
Mauritius,Africa,75.51,78.92,95
Bulgaria,Europe,75.49,79.06,96
Mexico,N. America,75.41,78.17,97
Nicaragua,N. America,75.23,78.65,98
Belarus,Europe,75.2,79.9,99
Belize,N. America,78.25,72.14,100
World average,World,75.6,70.8,0
Asia,Asia,76.4,72.1,0
S. America,S. America,79.2,73,0
Europe,Europe,82.3,75.9,0
Africa,Africa,66,62.3,0
N. America,N. America,82,77.1,0
Oceania,Oceania,81.2,77.3,0