Country,Both sexes,Female,Male,Rank
Hong Kong,85.29,88.17,82.38,1
Japan,85.03,88.09,81.91,2
Macao,84.68,87.62,81.73,3
Switzerland,84.25,86.02,82.42,4
Singapore,84.07,86.15,82.06,5
Italy,84.01,85.97,81.9,6
Spain,83.99,86.68,81.27,7
Australia,83.94,85.8,82.08,8
Channel Islands,83.6,85.31,81.82,9
Iceland,83.52,84.9,82.15,10
South Korea,83.5,86.42,80.46,11
Israel,83.49,84.91,81.98,12
Sweden,83.33,84.97,81.69,13
France,83.13,85.82,80.32,14
Martinique,83.13,86.1,79.85,15
Malta,83.06,84.68,81.37,16
Canada,82.96,84.74,81.15,17
Norway,82.94,84.78,81.11,18
Ireland,82.81,84.32,81.29,19
New Zealand,82.8,84.38,81.2,20
Greece,82.8,85.08,80.52,21
Luxembourg,82.79,84.76,80.83,22
Netherlands,82.78,84.35,81.2,23
Guadeloupe,82.74,85.94,79.16,24
Portugal,82.65,85.28,79.79,25
Finland,82.48,85.14,79.82,26
Belgium,82.17,84.31,80,27
Austria,82.05,84.19,79.88,28
Germany,81.88,84.14,79.62,29
Slovenia,81.85,84.44,79.26,30
United Kingdom,81.77,83.28,80.22,31
Réunion,81.55,84.45,78.52,32
Cyprus,81.51,83.45,79.55,33
Denmark,81.4,83.27,79.54,34