Country,Region,Female,Male
Hong Kong,Asia,88.17,82.38
Japan,Asia,88.09,81.91
Macao,Asia ,87.62,81.73
Switzerland,Europe,86.02,82.42
Singapore,Asia,86.15,82.06
Italy,Europe,85.97,81.9
Spain,Europe,86.68,81.27
Australia,Oceania,85.8,82.08
Channel Islands,Europe,85.31,81.82
Iceland,Europe,84.9,82.15
South Korea,Asia,86.42,80.46
Israel,Middle East,84.91,81.98
Sweden,Europe,84.97,81.69
France,Europe,85.82,80.32
Martinique,N. America,86.1,79.85
Malta,Europe,84.68,81.37
Canada,N. America,84.74,81.15
Norway,Europe,84.78,81.11
Ireland,Europe,84.32,81.29
New Zealand,Oceania,84.38,81.2
Greece,Europe,85.08,80.52
Luxembourg,Europe,84.76,80.83
Netherlands,Europe,84.35,81.2
Guadeloupe,N. America,85.94,79.16
Portugal,Europe,85.28,79.79
Finland,Europe,85.14,79.82
Belgium,Europe,84.31,80
Austria,Europe,84.19,79.88
Germany,Europe,84.14,79.62
Slovenia,Europe,84.44,79.26
United Kingdom,Europe,83.28,80.22
Réunion,Africa,84.45,78.52
Cyprus,Europe,83.45,79.55
Denmark,Europe,83.27,79.54
U.S. Virgin Islands,N. America,83.52,78.64
Taiwan,Asia ,83.64,78.49
Costa Rica,N. America,83.39,78.53
Chile,S. America,82.8,78.54
Guam,Oceania,83.98,77.63
Qatar,Asia,82.49,79.78
Puerto Rico,N. America,83.92,77.27
French Guiana,S. America,83.38,77.8
Maldives,Asia,81.58,78.53
Mayotte,Africa,83.24,76.62
Czech Republic (Czechia),Europe,82.35,77.33
Barbados,N. America,80.85,78.36
Curaçao,S. America,82.08,76.42
Poland,Europe,82.98,75.51
Lebanon,Asia,81.17,77.53
Estonia,Europe,83.06,74.98
Cuba,N. America,81.12,77.25
United States,N. America,81.65,76.61
Panama,N. America,82.2,76.14
Croatia,Europe,82.02,75.95
Albania,Europe,80.48,77.48
Oman,Asia,80.94,76.9
United Arab Emirates,Asia,78.46,79.8
Turkey,Asia,78.45,81.21
Uruguay,S. America,78.43,81.88
French Polynesia,Oceania,78.23,80.41
New Caledonia,Oceania,78.16,80.89
Slovakia,Europe,78,81.35
Bosnia and Herzegovina,Europe,77.93,80.32
Colombia,S. America,77.87,80.54
Thailand,Asia,77.74,81.34
Bahrain,Asia,77.73,78.88
Ecuador,S. America,77.71,80.45
Sri Lanka,Asia,77.56,80.74
Algeria,Africa,77.5,78.76
Antigua and Barbuda,N. America,77.47,78.58
China,Asia,77.47,79.73
Peru,S. America,77.44,80.15
Morocco,Africa,77.43,78.66
Montenegro,Europe,77.39,79.77
Tunisia,Africa,77.36,79.34
Iran,Asia,77.33,78.54
Hungary,Europe,77.31,80.66
Argentina,S. America,77.17,80.42
Aruba,S. America,76.79,79.1
Saint Lucia,N. America,76.67,78.06
Malaysia,Asia,76.65,78.78
Brazil,S. America,76.57,80.14
Romania,Europe,76.5,79.91
Serbia,Europe,76.47,79.05
Lithuania,Europe,76.41,81.7
Brunei,Asia,76.35,77.64
North Macedonia,Europe,76.26,78.32
Syria,Asia,76.06,79.11
Honduras,N. America,75.87,78.14
Kuwait,Asia,75.85,77.06
Vietnam,Asia,75.77,79.85
Latvia,Europe,75.73,80.37
Saudi Arabia,Asia,75.69,77.37
Armenia,Asia,75.55,78.9
Mauritius,Africa,75.51,78.92
Bulgaria,Europe,75.49,79.06
Mexico,N. America,75.41,78.17
Nicaragua,N. America,75.23,78.65
Belarus,Europe,75.2,79.9
World average,World,75.6,70.8